iter	Passed	Remaining
0	132	131993
1	133	66777
2	134	44771
3	135	33722
4	136	27085
5	136	22657
6	137	19491
7	138	17127
8	138	15279
9	139	13801
10	140	12589
11	140	11583
12	141	10744
13	142	10026
14	143	9399
15	143	8839
16	144	8343
17	144	7908
18	145	7519
19	146	7166
20	146	6848
21	147	6558
22	148	6294
23	148	6048
24	149	5827
25	150	5622
26	150	5430
27	151	5253
28	152	5097
29	152	4941
30	153	4802
31	154	4668
32	155	4546
33	155	4429
34	156	4318
35	157	4213
36	158	4112
37	158	4015
38	159	3924
39	159	3837
40	160	3756
41	161	3675
42	161	3599
43	162	3527
44	163	3459
45	163	3396
46	164	3334
47	165	3274
48	165	3214
49	166	3158
50	166	3103
51	167	3052
52	168	3002
53	168	2953
54	169	2907
55	169	2864
56	170	2821
57	171	2778
58	171	2738
59	172	2697
60	172	2661
61	173	2623
62	173	2586
63	174	2551
64	175	2517
65	175	2484
66	176	2452
67	176	2418
68	177	2388
69	177	2358
70	178	2330
71	178	2302
72	179	2275
73	179	2249
74	180	2224
75	180	2199
76	181	2175
77	182	2152
78	182	2130
79	183	2107
80	183	2085
81	184	2064
82	185	2044
83	185	2024
84	186	2002
85	186	1984
86	187	1963
87	187	1945
88	188	1928
89	189	1911
90	189	1892
91	190	1876
92	190	1859
93	191	1843
94	191	1827
95	192	1812
96	193	1796
97	193	1781
98	194	1766
99	194	1751
100	195	1737
101	195	1721
102	196	1707
103	196	1694
104	197	1681
105	197	1667
106	198	1655
107	198	1642
108	199	1630
109	200	1618
110	200	1606
111	201	1594
112	201	1583
113	202	1572
114	202	1561
115	203	1549
116	203	1539
117	204	1527
118	204	1516
119	205	1506
120	206	1497
121	206	1488
122	207	1476
123	207	1467
124	208	1458
125	209	1450
126	209	1442
127	210	1432
128	210	1422
129	211	1413
130	211	1404
131	212	1396
132	212	1387
133	213	1379
134	214	1372
135	214	1364
136	215	1357
137	216	1349
138	216	1341
139	217	1333
140	217	1327
141	218	1319
142	218	1312
143	219	1305
144	220	1298
145	220	1291
146	221	1285
147	222	1278
148	222	1272
149	223	1266
150	224	1260
151	225	1256
152	225	1250
153	226	1245
154	227	1238
155	227	1233
156	228	1227
157	229	1221
158	229	1216
159	230	1212
160	231	1206
161	232	1202
162	233	1196
163	233	1190
164	234	1185
165	234	1180
166	235	1174
167	236	1168
168	236	1163
169	237	1158
170	237	1153
171	238	1148
172	239	1143
173	239	1138
174	240	1133
175	241	1128
176	241	1123
177	242	1119
178	243	1114
