iter	Passed	Remaining
0	143	142995
1	144	72132
2	145	48369
3	146	36465
4	147	29323
5	148	24555
6	148	21106
7	149	18538
8	150	16532
9	150	14927
10	151	13631
11	152	12552
12	153	11645
13	154	10855
14	154	10162
15	155	9558
16	156	9029
17	157	8600
18	158	8186
19	159	7803
20	159	7456
21	160	7149
22	161	6859
23	162	6596
24	162	6349
25	163	6124
26	164	5914
27	164	5719
28	165	5539
29	166	5372
30	166	5217
31	167	5068
32	168	4929
33	168	4797
34	169	4672
35	170	4555
36	170	4446
37	171	4340
38	172	4242
39	172	4148
40	173	4061
41	174	3975
42	175	3894
43	175	3817
44	176	3744
45	177	3671
46	177	3601
47	178	3535
48	178	3472
49	179	3412
50	180	3356
51	180	3299
52	181	3245
53	182	3193
54	183	3144
55	183	3094
56	184	3047
57	184	3001
58	185	2957
59	185	2912
60	186	2871
61	187	2832
62	187	2793
63	188	2755
64	189	2720
65	189	2685
66	190	2651
67	191	2618
68	191	2584
69	192	2553
70	192	2521
71	193	2491
72	194	2464
73	194	2436
74	195	2408
75	195	2381
76	196	2356
77	197	2329
78	197	2305
79	198	2280
80	198	2257
81	199	2234
82	199	2209
83	200	2186
84	201	2165
85	201	2145
86	202	2124
87	203	2105
88	203	2086
89	204	2068
90	205	2049
91	205	2030
92	206	2011
93	206	1993
94	207	1975
95	208	1958
96	208	1941
97	209	1924
98	209	1908
99	210	1892
100	210	1876
101	211	1861
102	212	1846
103	212	1832
104	213	1818
105	213	1804
106	214	1790
107	215	1776
108	215	1763
109	216	1750
110	217	1738
111	217	1727
112	218	1714
113	219	1702
114	219	1691
115	220	1678
116	220	1666
117	221	1655
118	222	1644
119	222	1632
120	223	1621
121	223	1610
122	224	1601
123	225	1591
124	225	1581
125	226	1570
126	227	1561
127	227	1551
128	228	1542
129	229	1533
130	229	1524
131	230	1515
132	231	1506
133	231	1497
134	232	1488
135	233	1480
136	233	1471
137	234	1462
138	234	1453
139	235	1445
140	235	1436
141	236	1427
142	236	1419
143	237	1411
144	237	1403
145	238	1395
146	239	1387
147	239	1380
148	240	1374
149	241	1368
150	242	1360
151	242	1353
152	243	1346
153	243	1339
154	244	1332
155	244	1325
156	245	1318
157	246	1312
158	246	1305
159	247	1299
160	247	1292
161	248	1286
162	249	1280
163	249	1274
164	250	1268
165	251	1262
166	251	1256
167	252	1250
168	253	1244
169	253	1238
170	254	1233
171	255	1227
172	255	1222
173	256	1217
174	256	1211
175	257	1206
176	258	1200
177	258	1195
178	259	1189
179	259	1184
180	260	1178
181	261	1173
182	261	1168
183	262	1163
184	263	1158
185	263	1153
186	264	1149
187	264	1144
188	265	1139
189	266	1134
190	266	1129
191	267	1124
192	267	1120
193	268	1115
194	268	1110
195	269	1106
196	270	1101
197	270	1097
198	271	1092
199	272	1088
200	272	1084
201	273	1079
202	273	1075
203	274	1071
204	275	1067
205	275	1062
206	276	1058
207	276	1054
208	277	1050
209	278	1046
210	278	1042
211	279	1038
212	280	1034
213	280	1030
214	281	1026
215	281	1022
216	282	1018
217	282	1014
218	283	1010
219	284	1006
220	284	1003
221	285	999
222	285	995
223	286	992
224	286	988
225	287	984
226	288	980
227	288	977
228	289	973
229	289	969
230	290	966
231	290	962
232	291	959
233	291	955
234	292	952
235	293	949
236	293	946
237	294	943
238	295	940
239	295	937
240	296	934
241	297	930
242	297	927
243	298	924
244	298	921
245	299	918
246	300	915
247	300	912
248	301	909
249	302	906
250	302	903
251	303	900
252	303	896
253	304	893
254	304	890
255	305	887
256	306	884
257	306	881
258	307	878
259	307	875
260	308	872
261	308	870
262	309	867
263	310	864
264	310	862
265	311	859
266	312	856
267	312	854
268	313	851
269	313	848
270	314	846
271	315	843
272	315	840
273	316	838
274	317	836
275	317	833
276	318	830
277	318	828
278	319	825
279	320	822
280	320	820
281	321	817
282	321	815
283	322	813
284	323	810
285	323	808
286	324	805
287	324	803
288	325	800
289	326	798
290	326	795
291	327	793
292	327	791
293	328	788
294	329	786
295	329	783
296	330	781
297	330	779
298	331	777
299	332	775
300	332	773
301	333	770
302	333	768
303	334	765
304	335	763
305	335	761
306	336	758
307	336	756
308	337	754
309	338	752
310	339	751
311	339	749
312	340	746
313	340	744
314	341	742
315	342	740
316	342	738
317	343	736
318	344	734
319	344	732
320	345	731
321	346	729
322	347	727
323	347	725
324	348	723
325	349	721
326	349	719
327	350	717
328	350	715
329	351	713
330	352	711
331	352	710
332	353	708
333	354	706
334	354	704
335	355	702
336	356	701
337	357	699
338	357	697
339	358	695
340	358	693
341	359	692
342	360	690
343	361	688
344	361	686
345	362	684
346	363	683
347	363	681
348	364	679
349	364	677
350	365	675
351	366	673
352	367	672
353	367	671
354	368	669
355	369	667
356	369	666
357	370	664
358	371	663
359	371	661
360	372	659
361	373	657
362	373	655
363	374	653
364	374	652
365	375	650
366	376	648
367	376	647
368	377	645
369	377	643
370	378	641
371	379	640
372	379	638
373	380	636
374	381	635
375	381	633
376	382	632
377	383	630
378	383	628
379	384	626
380	384	625
381	385	623
382	386	621
383	386	620
384	387	618
385	387	617
386	388	615
387	389	613
388	389	612
389	390	610
390	391	609
391	391	607
392	392	605
393	392	604
394	393	602
395	394	601
396	394	599
397	395	598
398	396	596
399	396	595
400	397	593
401	398	592
402	398	590
403	399	589
404	400	588
405	400	586
406	401	585
407	402	583
408	402	581
409	403	580
410	403	578
411	404	577
412	405	575
413	405	574
414	406	572
415	407	571
416	407	569
417	408	568
418	408	566
419	409	565
420	410	564
421	410	562
422	411	561
423	412	559
424	412	558
425	413	557
426	414	555
427	414	554
428	415	553
429	416	551
430	416	550
431	417	548
432	418	547
433	418	545
434	419	544
435	419	543
436	420	541
437	421	540
438	421	539
439	422	537
440	423	536
441	423	534
442	424	533
443	425	532
444	425	531
445	426	529
446	426	528
447	427	526
448	428	525
449	428	524
450	429	522
451	430	521
452	430	520
453	431	518
454	431	517
455	432	516
456	433	514
457	433	513
458	434	512
459	435	510
460	435	509
461	436	508
462	437	507
463	437	505
464	438	504
465	439	503
466	439	501
467	440	500
468	441	499
469	441	498
470	442	497
471	443	495
472	443	494
473	444	493
474	444	491
475	445	490
476	446	489
477	446	487
478	447	486
479	447	485
480	448	483
481	448	482
482	449	481
483	450	480
484	451	478
485	451	477
486	452	476
487	453	475
488	454	474
489	454	473
490	455	471
491	455	470
492	456	469
493	456	468
494	457	466
495	458	465
496	458	464
497	459	463
498	459	461
499	460	460
500	461	459
501	461	458
502	462	456
503	462	455
504	463	454
505	463	452
506	464	451
507	464	450
508	465	449
509	466	448
510	467	446
511	467	445
512	468	444
513	468	443
514	469	442
515	470	441
516	470	439
517	471	438
518	472	437
519	473	436
520	473	435
521	474	434
522	475	433
523	475	432
524	476	430
525	476	429
526	477	428
527	478	427
528	478	426
529	479	425
530	480	424
531	480	423
532	481	421
533	482	420
534	482	419
535	483	418
536	484	417
537	484	416
538	485	415
539	486	414
540	486	412
541	487	411
542	487	410
543	488	409
544	489	408
545	489	407
546	490	406
547	491	405
548	491	403
549	492	402
550	492	401
551	493	400
552	493	399
553	494	398
554	495	396
555	495	395
556	496	394
557	497	393
558	497	392
559	498	391
560	499	390
561	499	389
562	500	388
563	500	387
564	501	386
565	502	385
566	502	383
567	503	382
568	504	381
569	504	380
570	505	379
571	505	378
572	506	377
573	507	376
574	507	375
575	508	374
576	508	372
577	509	371
578	510	370
579	510	369
580	511	368
581	512	367
582	512	366
583	513	365
584	513	364
585	514	363
586	515	362
587	515	361
588	516	360
589	517	359
590	517	358
591	518	357
592	518	356
593	519	355
594	520	354
595	520	352
596	521	351
597	521	350
598	522	349
599	523	348
600	523	347
601	524	346
602	524	345
603	525	344
604	525	343
605	526	342
606	527	341
607	527	340
608	528	339
609	529	338
610	529	337
611	530	336
612	530	335
613	531	334
614	531	332
615	532	331
616	533	330
617	533	329
618	534	328
619	535	327
620	535	326
621	536	325
622	536	324
623	537	323
624	538	322
625	538	321
626	539	320
627	539	319
628	540	318
629	541	317
630	541	316
631	542	315
632	542	314
633	543	313
634	543	312
635	544	311
636	544	310
637	545	309
638	545	308
639	546	307
640	547	306
641	547	305
642	548	304
643	548	303
644	549	302
645	549	301
646	550	300
647	550	299
648	551	298
649	551	297
650	552	296
651	553	295
652	553	294
653	554	293
654	554	292
655	555	291
656	556	290
657	557	289
658	557	288
659	558	287
660	558	286
661	559	285
662	560	284
663	560	283
664	561	282
665	561	281
666	562	280
667	563	279
668	563	278
669	564	277
670	564	276
671	565	276
672	566	275
673	566	274
674	567	273
675	567	272
676	568	271
677	569	270
678	569	269
679	570	268
680	570	267
681	571	266
682	572	265
683	572	264
684	573	263
685	573	262
686	574	261
687	574	260
688	575	259
689	576	258
690	576	257
691	577	256
692	577	255
693	578	255
694	579	254
695	579	253
696	580	252
697	580	251
698	581	250
699	581	249
700	582	248
701	582	247
702	583	246
703	584	245
704	584	244
705	585	243
706	586	243
707	586	242
708	587	241
709	588	240
710	588	239
711	589	238
712	589	237
713	590	236
714	590	235
715	591	234
716	591	233
717	592	232
718	593	231
719	593	230
720	594	229
721	594	228
722	595	228
723	595	227
724	596	226
725	596	225
726	597	224
727	598	223
728	598	222
729	599	221
730	599	220
731	600	219
732	600	218
733	601	217
734	601	217
735	602	216
736	603	215
737	603	214
738	604	213
739	604	212
740	605	211
741	605	210
742	606	209
743	606	208
744	607	207
745	608	207
746	608	206
747	609	205
748	609	204
749	610	203
750	611	202
751	611	201
752	612	200
753	612	199
754	613	198
755	613	198
756	614	197
757	614	196
758	615	195
759	615	194
760	616	193
761	616	192
762	617	191
763	618	190
764	618	190
765	619	189
766	619	188
767	620	187
768	620	186
769	621	185
770	621	184
771	622	183
772	622	182
773	623	182
774	624	181
775	624	180
776	625	179
777	625	178
778	626	177
779	626	176
780	627	175
781	627	175
782	628	174
783	629	173
784	629	172
785	629	171
786	630	170
787	631	169
788	631	168
789	632	168
790	632	167
791	633	166
792	633	165
793	634	164
794	635	163
795	635	162
796	636	162
797	636	161
798	637	160
799	637	159
800	638	158
801	639	157
802	639	156
803	640	156
804	640	155
805	641	154
806	642	153
807	642	152
808	643	151
809	644	151
810	644	150
811	645	149
812	645	148
813	646	147
814	646	146
815	647	145
816	648	145
817	648	144
818	649	143
819	649	142
820	650	141
821	650	140
822	651	140
823	651	139
824	652	138
825	653	137
826	653	136
827	654	135
828	654	135
829	655	134
830	655	133
831	656	132
832	657	131
833	657	130
834	658	130
835	658	129
836	659	128
837	659	127
838	660	126
839	660	125
840	661	125
841	662	124
842	662	123
843	663	122
844	663	121
845	664	120
846	665	120
847	665	119
848	666	118
849	666	117
850	667	116
851	667	115
852	668	115
853	669	114
854	669	113
855	670	112
856	670	111
857	671	111
858	671	110
859	672	109
860	672	108
861	673	107
862	673	106
863	674	106
864	675	105
865	675	104
866	676	103
867	676	102
868	677	102
869	677	101
870	678	100
871	679	99
872	679	98
873	680	98
874	680	97
875	681	96
876	681	95
877	682	94
878	683	94
879	683	93
880	684	92
881	685	91
882	685	90
883	686	90
884	686	89
885	687	88
886	688	87
887	688	86
888	689	86
889	689	85
890	690	84
891	690	83
892	691	82
893	692	82
894	692	81
895	693	80
896	693	79
897	694	78
898	694	78
899	695	77
900	695	76
901	696	75
902	696	74
903	697	74
904	697	73
905	698	72
906	699	71
907	699	70
908	700	70
909	700	69
910	701	68
911	702	67
912	702	66
913	703	66
914	703	65
915	704	64
916	704	63
917	705	63
918	705	62
919	706	61
920	707	60
921	707	59
922	708	59
923	708	58
924	709	57
925	710	56
926	710	55
927	711	55
928	712	54
929	712	53
930	713	52
931	713	52
932	714	51
933	715	50
934	715	49
935	716	48
936	716	48
937	717	47
938	717	46
939	718	45
940	719	45
941	719	44
942	720	43
943	720	42
944	721	41
945	721	41
946	722	40
947	722	39
948	723	38
949	724	38
950	724	37
951	725	36
952	725	35
953	726	35
954	727	34
955	728	33
956	728	32
957	729	31
958	729	31
959	730	30
960	730	29
961	731	28
962	732	28
963	732	27
964	733	26
965	733	25
966	734	25
967	734	24
968	735	23
969	735	22
970	736	21
971	736	21
972	737	20
973	738	19
974	738	18
975	739	18
976	739	17
977	740	16
978	741	15
979	741	15
980	742	14
981	742	13
982	743	12
983	743	12
984	744	11
985	745	10
986	745	9
987	746	9
988	747	8
989	747	7
990	748	6
991	748	6
992	749	5
993	749	4
994	750	3
995	750	3
996	751	2
997	752	1
998	752	0
999	753	0
